agent_i,agent_j,batch_index,epoch,mean_absolute_disagreement,overlap_height,overlap_width,split
5,10,0,1,0.003791241906583309,16,16,train
6,7,0,1,0.01156672928482294,48,16,train
6,9,0,1,0.0031077126041054726,16,16,train
6,10,0,1,0.0014615575782954693,16,48,train
6,11,0,1,0.010686489753425121,16,16,train
7,10,0,1,0.010201766155660152,16,16,train
7,11,0,1,0.0010498585179448128,16,40,train
8,9,0,1,0.00899680145084858,48,16,train
8,12,0,1,0.012505613267421722,16,40,train
8,13,0,1,0.0017446783604100347,16,16,train
9,10,0,1,0.002005369169637561,48,16,train
9,12,0,1,0.02143241837620735,16,16,train
9,13,0,1,0.007246826309710741,16,48,train
9,14,0,1,0.0032691953238099813,16,16,train
10,11,0,1,0.009265600703656673,48,16,train
10,13,0,1,0.008760987780988216,16,16,train
10,14,0,1,0.004745070356875658,16,48,train
10,15,0,1,0.015135858207941055,16,16,train
11,14,0,1,0.004455217160284519,16,16,train
11,15,0,1,0.0059473877772688866,16,40,train
12,13,0,1,0.014307043515145779,40,16,train
13,14,0,1,0.004042243119329214,40,16,train
14,15,0,1,0.010270444676280022,40,16,train
0,1,1,1,0.011686215177178383,40,16,train
0,4,1,1,0.012307276949286461,16,40,train
0,5,1,1,0.015964986756443977,16,16,train
1,2,1,1,0.004172340501099825,40,16,train
1,4,1,1,0.0012668760027736425,16,16,train
1,5,1,1,0.004300582222640514,16,48,train
1,6,1,1,0.00955168530344963,16,16,train
2,3,1,1,0.00880475714802742,40,16,train
2,5,1,1,0.008422616869211197,16,16,train
2,6,1,1,0.013742201961576939,16,48,train
2,7,1,1,0.0022592295426875353,16,16,train
3,6,1,1,0.02247660420835018,16,16,train
3,7,1,1,0.010938581079244614,16,40,train
4,5,1,1,0.003717365674674511,48,16,train
4,8,1,1,0.0033238965552300215,16,40,train
4,9,1,1,0.006129542365670204,16,16,train
5,6,1,1,0.005273489281535149,48,16,train
5,8,1,1,0.006825553253293037,16,16,train
5,9,1,1,0.002284638350829482,16,48,train
5,10,1,1,0.0038117507938295603,16,16,train
6,7,1,1,0.011576996184885502,48,16,train
6,9,1,1,0.0031313395593315363,16,16,train
6,10,1,1,0.0014437426580116153,16,48,train
6,11,1,1,0.010686912573873997,16,16,train
7,10,1,1,0.010180060751736164,16,16,train
7,11,1,1,0.0010398669401183724,16,40,train
8,9,1,1,0.009025580249726772,48,16,train
8,12,1,1,0.012521103024482727,16,40,train
8,13,1,1,0.0017585280584171414,16,16,train
9,10,1,1,0.001959478948265314,48,16,train
9,12,1,1,0.021520419046282768,16,16,train
9,13,1,1,0.007256865501403809,16,48,train
9,14,1,1,0.003159597748890519,16,16,train
10,11,1,1,0.009188568219542503,48,16,train
10,13,1,1,0.008817199617624283,16,16,train
10,14,1,1,0.004765574354678392,16,48,train
10,15,1,1,0.014758506789803505,16,16,train
